min_support,min_confidence,n_rules,precision,recall,f1
0.04,0.1,10278538,0.06666666666666667,0.02438786141911142,0.03571173146730538
0.04,0.2,10124781,0.06666666666666667,0.02438786141911142,0.03571173146730538
0.04,0.3,9791037,0.06666666666666667,0.02438786141911142,0.03571173146730538
0.04,0.4,9493799,0.06666666666666667,0.02438786141911142,0.03571173146730538
0.04,0.5,9218760,0.06666666666666667,0.02438786141911142,0.03571173146730538
0.04,0.6,8662038,0.06666666666666667,0.02438786141911142,0.03571173146730538
0.04,0.7,8127845,0.06388888888888888,0.02161008364133364,0.03229615963285932
0.04,0.8,7091842,0.06111111111111111,0.017443416974666972,0.02714004192685887
0.05,0.1,273872,0.06388888888888888,0.020221194752444754,0.030719495423368035
0.05,0.2,264310,0.06388888888888888,0.020221194752444754,0.030719495423368035
0.05,0.3,239334,0.06388888888888888,0.020221194752444754,0.030719495423368035
0.05,0.4,220454,0.06388888888888888,0.020221194752444754,0.030719495423368035
0.05,0.5,200847,0.06388888888888888,0.020221194752444754,0.030719495423368035
0.05,0.6,178666,0.06388888888888888,0.020221194752444754,0.030719495423368035
0.05,0.7,144633,0.06111111111111111,0.017443416974666972,0.02714004192685887
0.05,0.8,112078,0.06111111111111111,0.017443416974666972,0.02714004192685887
0.06,0.1,8760,0.06388888888888888,0.02041003288459684,0.030936915816940157
0.06,0.2,8342,0.06388888888888888,0.02041003288459684,0.030936915816940157
0.06,0.3,7542,0.06388888888888888,0.02041003288459684,0.030936915816940157
0.06,0.4,5812,0.06388888888888888,0.02041003288459684,0.030936915816940157
0.06,0.5,4657,0.06388888888888888,0.02041003288459684,0.030936915816940157
0.06,0.6,3498,0.06111111111111111,0.019021143995707947,0.02901211859400759
0.06,0.7,2327,0.06111111111111111,0.019021143995707947,0.02901211859400759
0.06,0.8,1603,0.058333333333333334,0.014854477329041282,0.023679111854424575
0.07,0.1,3366,0.0611111111111111,0.02245333760958761,0.032840482537280724
0.07,0.2,3366,0.0611111111111111,0.02245333760958761,0.032840482537280724
0.07,0.3,2850,0.0611111111111111,0.02245333760958761,0.032840482537280724
0.07,0.4,2353,0.0611111111111111,0.02245333760958761,0.032840482537280724
0.07,0.5,1725,0.0611111111111111,0.02245333760958761,0.032840482537280724
0.07,0.6,1239,0.058333333333333334,0.021064448720698722,0.03095198573358701
0.07,0.7,752,0.05555555555555555,0.020022782054032056,0.02943639185412425
0.07,0.8,436,0.03888888888888888,0.007026750308000307,0.011902807703755255
0.08,0.1,1584,0.0611111111111111,0.023842226498476497,0.03430177068217362
0.08,0.2,1584,0.0611111111111111,0.023842226498476497,0.03430177068217362
0.08,0.3,1336,0.0611111111111111,0.023842226498476497,0.03430177068217362
0.08,0.4,1182,0.0611111111111111,0.023842226498476497,0.03430177068217362
0.08,0.5,849,0.0611111111111111,0.023842226498476497,0.03430177068217362
0.08,0.6,531,0.05277777777777777,0.018749633905883904,0.02766950427553259
0.08,0.7,348,0.05277777777777777,0.018749633905883904,0.02766950427553259
0.08,0.8,168,0.030555555555555558,0.004937057593307593,0.008500615998071111
0.1,0.1,490,0.047222222222222214,0.020882824789074786,0.028959186905893903
0.1,0.2,490,0.047222222222222214,0.020882824789074786,0.028959186905893903
0.1,0.3,431,0.047222222222222214,0.020882824789074786,0.028959186905893903
0.1,0.4,362,0.047222222222222214,0.020882824789074786,0.028959186905893903
0.1,0.5,309,0.047222222222222214,0.020882824789074786,0.028959186905893903
0.1,0.6,179,0.03888888888888888,0.015790232196482193,0.022460660421370217
0.1,0.7,98,0.03055555555555555,0.013062057593307592,0.0183007917054067
0.1,0.8,47,0.013888888888888888,0.00255905459030459,0.004321807757948879
0.12,0.1,102,0.03611111111111111,0.017117117117117116,0.0232251998119417
0.12,0.2,102,0.03611111111111111,0.017117117117117116,0.0232251998119417
0.12,0.3,102,0.03611111111111111,0.017117117117117116,0.0232251998119417
0.12,0.4,81,0.03611111111111111,0.017117117117117116,0.0232251998119417
0.12,0.5,65,0.03611111111111111,0.017117117117117116,0.0232251998119417
0.12,0.6,43,0.02222222222222222,0.006475225225225225,0.010028340963592763
0.12,0.7,24,0.013888888888888888,0.0036875268125268123,0.005827769557118328
0.12,0.8,11,0.005555555555555555,0.0010317460317460319,0.0017402945113788489
0.15,0.1,30,0.03333333333333333,0.016412752037752037,0.02199536829926033
0.15,0.2,30,0.03333333333333333,0.016412752037752037,0.02199536829926033
0.15,0.3,30,0.03333333333333333,0.016412752037752037,0.02199536829926033
0.15,0.4,30,0.03333333333333333,0.016412752037752037,0.02199536829926033
0.15,0.5,20,0.03333333333333333,0.016412752037752037,0.02199536829926033
0.15,0.6,9,0.016666666666666666,0.004937526812526812,0.007618161133519495
0.15,0.7,6,0.008333333333333333,0.0020734126984126985,0.0033206228153797273
0.15,0.8,4,0.005555555555555555,0.0010317460317460319,0.0017402945113788489
